suburb,state_code,suburb_normalized,winner_shop_number,winner_label,winner_distance_km,runner_up_shop_number,runner_up_label,runner_up_distance_km
Birdwood,SA,birdwood,5351,Ingle Farm,29.64,5281,Salisbury Downs,32.02
Cromer,SA,cromer,5351,Ingle Farm,30.37,5281,Salisbury Downs,31.61
Eden Valley,SA,eden valley,5281,Salisbury Downs,45.43,5351,Ingle Farm,45.59
Flaxman Valley,SA,flaxman valley,5281,Salisbury Downs,41.98,5351,Ingle Farm,42.92
Mount Pleasant,SA,mount pleasant,5351,Ingle Farm,37.4,5281,Salisbury Downs,38.9
Springton,SA,springton,5351,Ingle Farm,42.53,5281,Salisbury Downs,43.08
Taunton,SA,taunton,5351,Ingle Farm,43.26,5281,Salisbury Downs,43.5
Tungkillo,SA,tungkillo,5351,Ingle Farm,38.25,5281,Salisbury Downs,41.23
Apamurra,SA,apamurra,5351,Ingle Farm,51.21,5281,Salisbury Downs,53.85
Milendella,SA,milendella,5351,Ingle Farm,51.42,5281,Salisbury Downs,53.37
Palmer,SA,palmer,5351,Ingle Farm,46.42,5281,Salisbury Downs,49.1
Sanderston,SA,sanderston,5351,Ingle Farm,55.62,5281,Salisbury Downs,56.52
Angas Valley,SA,angas valley,5351,Ingle Farm,60.97,5281,Salisbury Downs,62.45
Big Bend,SA,big bend,5351,Ingle Farm,90.87,5281,Salisbury Downs,91.64
Bolto,SA,bolto,5351,Ingle Farm,62.19,5281,Salisbury Downs,65.19
Bonython,SA,bonython,5351,Ingle Farm,50.64,5281,Salisbury Downs,52.59
Caurnamont,SA,caurnamont,5351,Ingle Farm,83.32,5281,Salisbury Downs,85.86
Claypans,SA,claypans,5351,Ingle Farm,97.42,5281,Salisbury Downs,99.53
Coolcha,SA,coolcha,5351,Ingle Farm,86.17,5281,Salisbury Downs,88.87
Cowirra,SA,cowirra,5351,Ingle Farm,63.98,5281,Salisbury Downs,66.84
Five Miles,SA,five miles,5351,Ingle Farm,68.53,5281,Salisbury Downs,71.04
Forster,SA,forster,5351,Ingle Farm,60.97,5281,Salisbury Downs,62.45
Frahns,SA,frahns,5351,Ingle Farm,65.7,5281,Salisbury Downs,68.45
Frayville,SA,frayville,5351,Ingle Farm,52.27,5281,Salisbury Downs,54.91
Julanka Holdings,SA,julanka holdings,5351,Ingle Farm,82.25,5281,Salisbury Downs,84.73
Lake Carlet,SA,lake carlet,5351,Ingle Farm,81.08,5281,Salisbury Downs,83.57
Mannum,SA,mannum,5351,Ingle Farm,60.97,5281,Salisbury Downs,64.0
Nildottie,SA,nildottie,5351,Ingle Farm,96.01,5281,Salisbury Downs,97.06
Old Teal Flat,SA,old teal flat,5351,Ingle Farm,82.09,5281,Salisbury Downs,84.56
Pellaring Flat,SA,pellaring flat,5351,Ingle Farm,68.04,5281,Salisbury Downs,70.54
Pompoota,SA,pompoota,5351,Ingle Farm,67.49,5281,Salisbury Downs,71.07
Ponde,SA,ponde,5351,Ingle Farm,64.35,5281,Salisbury Downs,67.7
Port Mannum,SA,port mannum,5351,Ingle Farm,61.03,5281,Salisbury Downs,64.17
Punthari,SA,punthari,5351,Ingle Farm,60.03,5281,Salisbury Downs,62.09
Purnong,SA,purnong,5351,Ingle Farm,83.38,5281,Salisbury Downs,85.24
Purnong Landing,SA,purnong landing,5351,Ingle Farm,83.38,5281,Salisbury Downs,85.24
Rocky Point,SA,rocky point,5351,Ingle Farm,72.74,5281,Salisbury Downs,75.14
Teal Flat,SA,teal flat,5351,Ingle Farm,83.93,5281,Salisbury Downs,86.54
Walker Flat,SA,walker flat,5351,Ingle Farm,84.49,5281,Salisbury Downs,86.18
WALL,SA,wall,5351,Ingle Farm,61.77,5281,Salisbury Downs,65.27
Wongulla,SA,wongulla,5351,Ingle Farm,84.83,5281,Salisbury Downs,86.08
Woodlane,SA,woodlane,5351,Ingle Farm,65.71,5281,Salisbury Downs,69.41
Younghusband,SA,younghusband,5351,Ingle Farm,84.21,5281,Salisbury Downs,86.87
Younghusband Holdings,SA,younghusband holdings,5351,Ingle Farm,82.66,5281,Salisbury Downs,85.15
Lenswood,SA,lenswood,5351,Ingle Farm,19.17,5281,Salisbury Downs,24.04
Lobethal,SA,lobethal,5351,Ingle Farm,22.58,5281,Salisbury Downs,27.03
Balhannah,SA,balhannah,5351,Ingle Farm,24.82,5281,Salisbury Downs,30.35
Oakbank,SA,oakbank,5351,Ingle Farm,25.09,5281,Salisbury Downs,30.41
Charleston,SA,charleston,5351,Ingle Farm,25.41,5281,Salisbury Downs,29.76
Harrogate,SA,harrogate,5351,Ingle Farm,36.15,5281,Salisbury Downs,40.31
Inverbrackie,SA,inverbrackie,5351,Ingle Farm,27.23,5281,Salisbury Downs,32.28
Mount Torrens,SA,mount torrens,5351,Ingle Farm,29.12,5281,Salisbury Downs,32.49
Woodside,SA,woodside,5351,Ingle Farm,25.3,5281,Salisbury Downs,30.23
Hahndorf,SA,hahndorf,5351,Ingle Farm,27.03,5281,Salisbury Downs,32.79
Paechtown,SA,paechtown,5351,Ingle Farm,30.17,5281,Salisbury Downs,35.98
Verdun,SA,verdun,5351,Ingle Farm,24.52,5281,Salisbury Downs,30.29
Blakiston,SA,blakiston,5351,Ingle Farm,33.24,5281,Salisbury Downs,38.8
Littlehampton,SA,littlehampton,5351,Ingle Farm,31.35,5281,Salisbury Downs,36.94
Totness,SA,totness,5351,Ingle Farm,30.48,5281,Salisbury Downs,36.22
Bugle Ranges,SA,bugle ranges,5351,Ingle Farm,38.4,5281,Salisbury Downs,44.23
Mount Barker,SA,mount barker,5351,Ingle Farm,34.86,5281,Salisbury Downs,40.58
Mount Barker Junction,SA,mount barker junction,5351,Ingle Farm,30.26,5281,Salisbury Downs,35.77
Mount Barker Springs,SA,mount barker springs,5351,Ingle Farm,38.4,5281,Salisbury Downs,43.98
Mount Barker Summit,SA,mount barker summit,5351,Ingle Farm,37.06,5281,Salisbury Downs,42.52
Wistow,SA,wistow,5351,Ingle Farm,40.61,5281,Salisbury Downs,46.28
Brukunga,SA,brukunga,5351,Ingle Farm,33.55,5281,Salisbury Downs,38.55
Dawesley,SA,dawesley,5351,Ingle Farm,36.21,5281,Salisbury Downs,41.47
Hay Valley,SA,hay valley,5351,Ingle Farm,30.99,5281,Salisbury Downs,36.28
Kanmantoo,SA,kanmantoo,5351,Ingle Farm,43.07,5281,Salisbury Downs,48.21
Nairne,SA,nairne,5351,Ingle Farm,33.13,5281,Salisbury Downs,38.49
Petwood,SA,petwood,5351,Ingle Farm,33.55,5281,Salisbury Downs,38.55
St Ives,SA,st ives,5351,Ingle Farm,44.33,5281,Salisbury Downs,49.74
Avoca Dell,SA,avoca dell,5351,Ingle Farm,67.47,5281,Salisbury Downs,71.78
Brinkley,SA,brinkley,5351,Ingle Farm,72.47,5281,Salisbury Downs,77.37
Burdett,SA,burdett,5351,Ingle Farm,75.58,5281,Salisbury Downs,79.35
Chapman Bore,SA,chapman bore,5351,Ingle Farm,88.44,5281,Salisbury Downs,92.4
Ettrick,SA,ettrick,5351,Ingle Farm,82.79,5281,Salisbury Downs,86.07
Gifford Hill,SA,gifford hill,5351,Ingle Farm,63.98,5281,Salisbury Downs,68.86
Greenbanks,SA,greenbanks,5351,Ingle Farm,69.04,5281,Salisbury Downs,73.05
Long Flat,SA,long flat,5351,Ingle Farm,69.42,5281,Salisbury Downs,73.94
Mobilong,SA,mobilong,5351,Ingle Farm,65.21,5281,Salisbury Downs,69.67
Monteith,SA,monteith,5351,Ingle Farm,73.18,5281,Salisbury Downs,77.86
Murrawong,SA,murrawong,5351,Ingle Farm,67.63,5281,Salisbury Downs,71.67
Murray Bridge,SA,murray bridge,5351,Ingle Farm,66.0,5281,Salisbury Downs,70.65
Murray Bridge East,SA,murray bridge east,5351,Ingle Farm,70.98,5281,Salisbury Downs,75.45
Murray Bridge North,SA,murray bridge north,5351,Ingle Farm,63.42,5281,Salisbury Downs,67.88
Murray Bridge South,SA,murray bridge south,5351,Ingle Farm,68.35,5281,Salisbury Downs,73.1
Northern Heights,SA,northern heights,5351,Ingle Farm,64.16,5281,Salisbury Downs,68.67
Riverglades,SA,riverglades,5351,Ingle Farm,67.08,5281,Salisbury Downs,71.45
Riverglen,SA,riverglen,5351,Ingle Farm,71.38,5281,Salisbury Downs,76.1
Rocky Gully,SA,rocky gully,5351,Ingle Farm,63.34,5281,Salisbury Downs,67.91
Sunnyside,SA,sunnyside,5351,Ingle Farm,70.47,5281,Salisbury Downs,74.41
Swanport,SA,swanport,5351,Ingle Farm,70.58,5281,Salisbury Downs,75.23
Toora,SA,toora,5351,Ingle Farm,66.21,5281,Salisbury Downs,70.38
White Hill,SA,white hill,5351,Ingle Farm,62.86,5281,Salisbury Downs,67.68
White Sands,SA,white sands,5351,Ingle Farm,73.18,5281,Salisbury Downs,78.0
Willow Banks,SA,willow banks,5351,Ingle Farm,68.81,5281,Salisbury Downs,72.83
Woods Point,SA,woods point,5351,Ingle Farm,79.38,5281,Salisbury Downs,84.17
Buccleuch,SA,buccleuch,5351,Ingle Farm,52.82,5281,Salisbury Downs,57.21
Callington,SA,callington,5351,Ingle Farm,49.21,5281,Salisbury Downs,54.43
Caloote,SA,caloote,5351,Ingle Farm,57.67,5281,Salisbury Downs,61.14
Monarto,SA,monarto,5351,Ingle Farm,49.57,5281,Salisbury Downs,54.47
Monarto South,SA,monarto south,5351,Ingle Farm,60.4,5281,Salisbury Downs,65.78
Mypolonga,SA,mypolonga,5351,Ingle Farm,65.41,5281,Salisbury Downs,69.33
Pallamana,SA,pallamana,5351,Ingle Farm,56.16,5281,Salisbury Downs,60.82
Rockleigh,SA,rockleigh,5351,Ingle Farm,37.67,5281,Salisbury Downs,41.8
Tepko,SA,tepko,5351,Ingle Farm,53.6,5281,Salisbury Downs,57.37
The Point,SA,the point,5351,Ingle Farm,79.38,5281,Salisbury Downs,84.17
Wall Flat,SA,wall flat,5351,Ingle Farm,61.77,5281,Salisbury Downs,65.27
Zadows Landing,SA,zadows landing,5351,Ingle Farm,61.37,5281,Salisbury Downs,64.89
Angas Plains,SA,angas plains,5351,Ingle Farm,65.75,5281,Salisbury Downs,71.6
Belvidere,SA,belvidere,5351,Ingle Farm,58.41,5281,Salisbury Downs,64.26
Bletchley,SA,bletchley,5351,Ingle Farm,56.62,5281,Salisbury Downs,62.36
Finniss,SA,finniss,5351,Ingle Farm,67.14,5281,Salisbury Downs,73.04
Gemmells,SA,gemmells,5351,Ingle Farm,45.54,5281,Salisbury Downs,51.34
Hartley,SA,hartley,5351,Ingle Farm,52.52,5281,Salisbury Downs,58.11
Highland Valley,SA,highland valley,5351,Ingle Farm,45.72,5281,Salisbury Downs,51.48
Lake Plains,SA,lake plains,5351,Ingle Farm,69.73,5281,Salisbury Downs,75.54
Langhorne Creek,SA,langhorne creek,5351,Ingle Farm,63.59,5281,Salisbury Downs,69.32
Mount Observation,SA,mount observation,5351,Ingle Farm,59.61,5281,Salisbury Downs,65.45
Mulgundawa,SA,mulgundawa,5351,Ingle Farm,70.62,5281,Salisbury Downs,76.09
Nalpa,SA,nalpa,5351,Ingle Farm,84.67,5281,Salisbury Downs,90.01
Red Creek,SA,red creek,5351,Ingle Farm,47.05,5281,Salisbury Downs,52.66
Salem,SA,salem,5351,Ingle Farm,49.98,5281,Salisbury Downs,55.41
Sandergrove,SA,sandergrove,5351,Ingle Farm,56.66,5281,Salisbury Downs,62.57
Strathalbyn,SA,strathalbyn,5351,Ingle Farm,52.75,5281,Salisbury Downs,58.63
Tooperang,SA,tooperang,5351,Ingle Farm,61.69,5281,Salisbury Downs,67.46
Willyaroo,SA,willyaroo,5351,Ingle Farm,56.52,5281,Salisbury Downs,62.39
Woodchester,SA,woodchester,5351,Ingle Farm,50.73,5281,Salisbury Downs,56.52
Clayton,SA,clayton,5351,Ingle Farm,78.18,5281,Salisbury Downs,84.09
Clayton Bay,SA,clayton bay,5351,Ingle Farm,78.17,5281,Salisbury Downs,84.09
Milang,SA,milang,5351,Ingle Farm,71.04,5281,Salisbury Downs,76.93
Nurragi,SA,nurragi,5351,Ingle Farm,63.62,5281,Salisbury Downs,69.53
Point Sturt,SA,point sturt,5351,Ingle Farm,78.4,5281,Salisbury Downs,84.31
Tolderol,SA,tolderol,5351,Ingle Farm,73.22,5281,Salisbury Downs,78.98
East Wellington,SA,east wellington,5351,Ingle Farm,90.48,5281,Salisbury Downs,95.65
Jervois,SA,jervois,5351,Ingle Farm,83.52,5281,Salisbury Downs,88.33
KEPA,SA,kepa,5351,Ingle Farm,82.96,5281,Salisbury Downs,87.33
Lake Alexandrina,SA,lake alexandrina,5351,Ingle Farm,79.75,5281,Salisbury Downs,85.57
Narrung,SA,narrung,5351,Ingle Farm,92.43,5281,Salisbury Downs,98.34
Naturi,SA,naturi,5351,Ingle Farm,95.2,5281,Salisbury Downs,99.46
Point Mcleay,SA,point mcleay,5351,Ingle Farm,87.91,5281,Salisbury Downs,93.72
Poltalloch,SA,poltalloch,5351,Ingle Farm,93.2,5281,Salisbury Downs,98.83
Raukkan,SA,raukkan,5351,Ingle Farm,87.91,5281,Salisbury Downs,93.72
Tailem Bend,SA,tailem bend,5351,Ingle Farm,87.92,5281,Salisbury Downs,92.65
Wellington,SA,wellington,5351,Ingle Farm,85.33,5281,Salisbury Downs,90.33
Wellington East,SA,wellington east,5351,Ingle Farm,90.48,5281,Salisbury Downs,95.65
Bayah,SA,bayah,5351,Ingle Farm,95.07,5281,Salisbury Downs,99.89
Rosedale,SA,rosedale,5281,Salisbury Downs,31.87,5351,Ingle Farm,35.32
Sandy Creek,SA,sandy creek,5281,Salisbury Downs,27.34,5351,Ingle Farm,30.5
Altona,SA,altona,5281,Salisbury Downs,32.65,5351,Ingle Farm,34.83
Barossa Goldfields,SA,barossa goldfields,5281,Salisbury Downs,22.35,5351,Ingle Farm,24.68
Cockatoo Valley,SA,cockatoo valley,5281,Salisbury Downs,24.75,5351,Ingle Farm,27.38
Lyndoch,SA,lyndoch,5281,Salisbury Downs,30.38,5351,Ingle Farm,32.81
Mount Crawford,SA,mount crawford,5351,Ingle Farm,32.57,5281,Salisbury Downs,32.9
Pewsey Vale,SA,pewsey vale,5281,Salisbury Downs,35.98,5351,Ingle Farm,37.0
Williamstown,SA,williamstown,5281,Salisbury Downs,26.58,5351,Ingle Farm,27.86
Bethany,SA,bethany,5281,Salisbury Downs,41.44,5351,Ingle Farm,43.67
Gomersal,SA,gomersal,5281,Salisbury Downs,37.25,5351,Ingle Farm,40.26
Krondorf,SA,krondorf,5281,Salisbury Downs,40.35,5351,Ingle Farm,42.35
Rowland Flat,SA,rowland flat,5281,Salisbury Downs,36.65,5351,Ingle Farm,38.93
Stone Well,SA,stone well,5281,Salisbury Downs,42.98,5351,Ingle Farm,45.92
Tanunda,SA,tanunda,5281,Salisbury Downs,41.74,5351,Ingle Farm,44.42
Vine Vale,SA,vine vale,5281,Salisbury Downs,44.6,5351,Ingle Farm,46.97
Angaston,SA,angaston,5281,Salisbury Downs,49.09,5351,Ingle Farm,51.29
Black Hill,SA,black hill,5351,Ingle Farm,74.37,5281,Salisbury Downs,75.4
Cambrai,SA,cambrai,5351,Ingle Farm,64.18,5281,Salisbury Downs,64.76
Keyneton,SA,keyneton,5281,Salisbury Downs,54.72,5351,Ingle Farm,55.44
Kongolia,SA,kongolia,5351,Ingle Farm,68.26,5281,Salisbury Downs,68.8
Langs Landing,SA,langs landing,5351,Ingle Farm,90.17,5281,Salisbury Downs,90.59
Moculta,SA,moculta,5281,Salisbury Downs,56.19,5351,Ingle Farm,58.29
Mount Mckenzie,SA,mount mckenzie,5281,Salisbury Downs,48.69,5351,Ingle Farm,49.99
Penrice,SA,penrice,5281,Salisbury Downs,50.04,5351,Ingle Farm,52.39
Punyelroo,SA,punyelroo,5351,Ingle Farm,90.7,5281,Salisbury Downs,91.25
Sedan,SA,sedan,5281,Salisbury Downs,65.4,5351,Ingle Farm,65.63
Sunnydale,SA,sunnydale,5351,Ingle Farm,92.61,5281,Salisbury Downs,93.51
Towitta,SA,towitta,5281,Salisbury Downs,62.42,5351,Ingle Farm,63.34
Fisher,SA,fisher,5281,Salisbury Downs,89.84,5351,Ingle Farm,90.19
Marks Landing,SA,marks landing,5351,Ingle Farm,90.25,5281,Salisbury Downs,90.6
Swan Reach,SA,swan reach,5351,Ingle Farm,91.69,5281,Salisbury Downs,91.99
Daveyston,SA,daveyston,5281,Salisbury Downs,40.45,5351,Ingle Farm,44.22
Ebenezer,SA,ebenezer,5281,Salisbury Downs,54.31,5351,Ingle Farm,57.4
Light Pass,SA,light pass,5281,Salisbury Downs,49.71,5351,Ingle Farm,52.35
Marananga,SA,marananga,5281,Salisbury Downs,42.99,5351,Ingle Farm,46.19
Moppa,SA,moppa,5281,Salisbury Downs,49.45,5351,Ingle Farm,53.22
Nuriootpa,SA,nuriootpa,5281,Salisbury Downs,47.78,5351,Ingle Farm,50.7
Seppeltsfield,SA,seppeltsfield,5281,Salisbury Downs,40.2,5351,Ingle Farm,43.52
Stockwell,SA,stockwell,5281,Salisbury Downs,54.33,5351,Ingle Farm,57.08
Annadale,SA,annadale,5281,Salisbury Downs,79.81,5351,Ingle Farm,81.3
Dutton,SA,dutton,5281,Salisbury Downs,66.14,5351,Ingle Farm,68.84
Dutton East,SA,dutton east,5281,Salisbury Downs,74.02,5351,Ingle Farm,76.28
Sandleton,SA,sandleton,5281,Salisbury Downs,78.36,5351,Ingle Farm,79.3
St Kitts,SA,st kitts,5281,Salisbury Downs,64.37,5351,Ingle Farm,67.51
Steinfeld,SA,steinfeld,5281,Salisbury Downs,73.57,5351,Ingle Farm,75.47
Truro,SA,truro,5281,Salisbury Downs,61.3,5351,Ingle Farm,63.76
Moorundie,SA,moorundie,5281,Salisbury Downs,87.35,5351,Ingle Farm,87.86
Greenock,SA,greenock,5281,Salisbury Downs,44.62,5351,Ingle Farm,48.09
NAIN,SA,nain,5281,Salisbury Downs,45.02,5351,Ingle Farm,48.67
Morn Hill,SA,morn hill,5281,Salisbury Downs,41.49,5351,Ingle Farm,46.43
Roseworthy,SA,roseworthy,5281,Salisbury Downs,28.82,5351,Ingle Farm,33.46
Shea-Oak Log,SA,shea-oak log,5281,Salisbury Downs,36.22,5351,Ingle Farm,40.4
Templers,SA,templers,5281,Salisbury Downs,35.3,5351,Ingle Farm,40.13
Freeling,SA,freeling,5281,Salisbury Downs,41.26,5351,Ingle Farm,45.67
Allendale North,SA,allendale north,5281,Salisbury Downs,60.92,5351,Ingle Farm,65.27
Bagot Well,SA,bagot well,5281,Salisbury Downs,60.53,5351,Ingle Farm,64.32
Bethel,SA,bethel,5281,Salisbury Downs,51.37,5351,Ingle Farm,56.03
Fords,SA,fords,5281,Salisbury Downs,47.66,5351,Ingle Farm,51.91
Hamilton,SA,hamilton,5281,Salisbury Downs,63.6,5351,Ingle Farm,68.11
Kapunda,SA,kapunda,5281,Salisbury Downs,55.05,5351,Ingle Farm,59.2
Koonunga,SA,koonunga,5281,Salisbury Downs,53.96,5351,Ingle Farm,57.34
St Johns,SA,st johns,5281,Salisbury Downs,53.37,5351,Ingle Farm,57.15
Australia Plains,SA,australia plains,5281,Salisbury Downs,91.23,5351,Ingle Farm,94.97
Bower,SA,bower,5281,Salisbury Downs,95.79,5351,Ingle Farm,99.35
Buchanan,SA,buchanan,5281,Salisbury Downs,71.29,5351,Ingle Farm,75.38
Eudunda,SA,eudunda,5281,Salisbury Downs,79.4,5351,Ingle Farm,83.26
Frankton,SA,frankton,5281,Salisbury Downs,74.54,5351,Ingle Farm,77.17
Hampden,SA,hampden,5281,Salisbury Downs,78.01,5351,Ingle Farm,82.14
Hansborough,SA,hansborough,5281,Salisbury Downs,71.24,5351,Ingle Farm,74.72
Julia,SA,julia,5281,Salisbury Downs,80.16,5351,Ingle Farm,84.46
Neales Flat,SA,neales flat,5281,Salisbury Downs,79.71,5351,Ingle Farm,82.89
Ngapala,SA,ngapala,5281,Salisbury Downs,86.42,5351,Ingle Farm,90.91
Peep Hill,SA,peep hill,5281,Salisbury Downs,84.81,5351,Ingle Farm,88.39
Point Pass,SA,point pass,5281,Salisbury Downs,86.89,5351,Ingle Farm,91.02
Sutherlands,SA,sutherlands,5281,Salisbury Downs,87.82,5351,Ingle Farm,91.12
Magdala,SA,magdala,5281,Salisbury Downs,40.75,5351,Ingle Farm,45.96
Pinkerton Plains,SA,pinkerton plains,5281,Salisbury Downs,39.98,5351,Ingle Farm,45.61
Wasleys,SA,wasleys,5281,Salisbury Downs,33.23,5351,Ingle Farm,38.53
Woolsheds,SA,woolsheds,5281,Salisbury Downs,31.07,5351,Ingle Farm,36.68
ALMA,SA,alma,5281,Salisbury Downs,58.61,5351,Ingle Farm,64.24
Hamley Bridge,SA,hamley bridge,5281,Salisbury Downs,44.77,5351,Ingle Farm,50.26
Salter Springs,SA,salter springs,5281,Salisbury Downs,65.23,5351,Ingle Farm,70.88
Linwood,SA,linwood,5281,Salisbury Downs,43.44,5351,Ingle Farm,48.59
Stockport,SA,stockport,5281,Salisbury Downs,49.84,5351,Ingle Farm,55.03
Giles Corner,SA,giles corner,5281,Salisbury Downs,61.83,5351,Ingle Farm,67.17
Tarlee,SA,tarlee,5281,Salisbury Downs,57.64,5351,Ingle Farm,62.74
Navan,SA,navan,5281,Salisbury Downs,70.4,5351,Ingle Farm,75.7
Rhynie,SA,rhynie,5281,Salisbury Downs,70.45,5351,Ingle Farm,75.92
Riverton,SA,riverton,5281,Salisbury Downs,68.69,5351,Ingle Farm,73.9
Woolshed Flat,SA,woolshed flat,5281,Salisbury Downs,72.73,5351,Ingle Farm,78.32
Marrabel,SA,marrabel,5281,Salisbury Downs,74.18,5351,Ingle Farm,78.99
Saddleworth,SA,saddleworth,5281,Salisbury Downs,78.01,5351,Ingle Farm,83.21
Steelton,SA,steelton,5281,Salisbury Downs,82.7,5351,Ingle Farm,87.59
Tarnma,SA,tarnma,5281,Salisbury Downs,73.63,5351,Ingle Farm,78.12
Tothill Belt,SA,tothill belt,5281,Salisbury Downs,89.88,5351,Ingle Farm,94.65
Tothill Creek,SA,tothill creek,5281,Salisbury Downs,81.55,5351,Ingle Farm,86.28
Waterloo,SA,waterloo,5281,Salisbury Downs,89.6,5351,Ingle Farm,94.57
Manoora,SA,manoora,5281,Salisbury Downs,88.39,5351,Ingle Farm,93.53
Mintaro,SA,mintaro,5281,Salisbury Downs,94.59,5351,Ingle Farm,99.96
Auburn,SA,auburn,5281,Salisbury Downs,83.07,5351,Ingle Farm,88.56
Undalya,SA,undalya,5281,Salisbury Downs,77.98,5351,Ingle Farm,83.44
Leasingham,SA,leasingham,5281,Salisbury Downs,88.14,5351,Ingle Farm,93.74
Watervale,SA,watervale,5281,Salisbury Downs,89.98,5351,Ingle Farm,95.56
Hoyleton,SA,hoyleton,5281,Salisbury Downs,86.45,5351,Ingle Farm,92.22
Barabba,SA,barabba,5281,Salisbury Downs,43.32,5351,Ingle Farm,49.05
OWEN,SA,owen,5281,Salisbury Downs,56.17,5351,Ingle Farm,61.98
Pinery,SA,pinery,5281,Salisbury Downs,55.37,5351,Ingle Farm,61.29
Stockyard Creek,SA,stockyard creek,5281,Salisbury Downs,51.91,5351,Ingle Farm,57.61
Balaklava,SA,balaklava,5281,Salisbury Downs,72.16,5351,Ingle Farm,78.06
Bowillia,SA,bowillia,5281,Salisbury Downs,93.86,5351,Ingle Farm,99.75
Dalkey,SA,dalkey,5281,Salisbury Downs,67.59,5351,Ingle Farm,73.5
Erith,SA,erith,5281,Salisbury Downs,63.47,5351,Ingle Farm,69.38
Goyder,SA,goyder,5281,Salisbury Downs,83.46,5351,Ingle Farm,89.36
Halbury,SA,halbury,5281,Salisbury Downs,77.28,5351,Ingle Farm,83.07
Hoskin Corner,SA,hoskin corner,5281,Salisbury Downs,64.86,5351,Ingle Farm,70.75
Mount Templeton,SA,mount templeton,5281,Salisbury Downs,87.87,5351,Ingle Farm,93.78
Saints,SA,saints,5281,Salisbury Downs,73.54,5351,Ingle Farm,79.45
STOW,SA,stow,5281,Salisbury Downs,87.56,5351,Ingle Farm,93.45
Watchman,SA,watchman,5281,Salisbury Downs,81.27,5351,Ingle Farm,87.15
Whitwarta,SA,whitwarta,5281,Salisbury Downs,79.44,5351,Ingle Farm,85.35
AVON,SA,avon,5281,Salisbury Downs,58.92,5351,Ingle Farm,64.82
Calomba,SA,calomba,5281,Salisbury Downs,46.33,5351,Ingle Farm,52.23
Dublin,SA,dublin,5281,Salisbury Downs,38.14,5351,Ingle Farm,43.98
Lewiston,SA,lewiston,5281,Salisbury Downs,18.95,5351,Ingle Farm,24.81
Long Plains,SA,long plains,5281,Salisbury Downs,51.5,5351,Ingle Farm,57.37
Lower Light,SA,lower light,5281,Salisbury Downs,29.43,5351,Ingle Farm,35.22
Middle Beach,SA,middle beach,5281,Salisbury Downs,25.14,5351,Ingle Farm,30.94
Parham,SA,parham,5281,Salisbury Downs,51.34,5351,Ingle Farm,56.85
Port Gawler,SA,port gawler,5281,Salisbury Downs,19.52,5351,Ingle Farm,25.01
Thompson Beach,SA,thompson beach,5281,Salisbury Downs,44.85,5351,Ingle Farm,50.23
Two Wells,SA,two wells,5281,Salisbury Downs,23.27,5351,Ingle Farm,29.15
Webb Beach,SA,webb beach,5281,Salisbury Downs,49.36,5351,Ingle Farm,54.83
Wild Horse Plains,SA,wild horse plains,5281,Salisbury Downs,55.81,5351,Ingle Farm,61.59
Windsor,SA,windsor,5281,Salisbury Downs,50.33,5351,Ingle Farm,56.07
Fischer,SA,fischer,5281,Salisbury Downs,30.26,5351,Ingle Farm,35.92
Grace Plains,SA,grace plains,5281,Salisbury Downs,46.84,5351,Ingle Farm,52.73
Korunye,SA,korunye,5281,Salisbury Downs,27.59,5351,Ingle Farm,33.46
Mallala,SA,mallala,5281,Salisbury Downs,38.74,5351,Ingle Farm,44.66
Redbanks,SA,redbanks,5281,Salisbury Downs,31.38,5351,Ingle Farm,37.27
Reeves Plains,SA,reeves plains,5281,Salisbury Downs,27.7,5351,Ingle Farm,33.42
Beaufort,SA,beaufort,5281,Salisbury Downs,84.09,5351,Ingle Farm,89.92
Bowmans,SA,bowmans,5281,Salisbury Downs,74.15,5351,Ingle Farm,80.04
Inkerman,SA,inkerman,5281,Salisbury Downs,64.05,5351,Ingle Farm,69.83
Kallora,SA,kallora,5281,Salisbury Downs,68.21,5351,Ingle Farm,74.09
Nantawarra,SA,nantawarra,5281,Salisbury Downs,92.52,5351,Ingle Farm,98.42
Port Wakefield,SA,port wakefield,5281,Salisbury Downs,78.68,5351,Ingle Farm,84.41
Proof Range,SA,proof range,5281,Salisbury Downs,67.73,5351,Ingle Farm,73.43
Port Arthur,SA,port arthur,5281,Salisbury Downs,88.37,5351,Ingle Farm,94.07
Dowlingville,SA,dowlingville,5281,Salisbury Downs,80.85,5351,Ingle Farm,85.99
Winulta,SA,winulta,5281,Salisbury Downs,83.22,5351,Ingle Farm,88.43
Clinton,SA,clinton,5281,Salisbury Downs,82.56,5351,Ingle Farm,88.02
Clinton Centre,SA,clinton centre,5281,Salisbury Downs,88.17,5351,Ingle Farm,93.4
Port Clinton,SA,port clinton,5281,Salisbury Downs,82.56,5351,Ingle Farm,88.02
Price,SA,price,5281,Salisbury Downs,79.11,5351,Ingle Farm,84.37
Ardrossan,SA,ardrossan,5281,Salisbury Downs,75.74,5351,Ingle Farm,80.36
Black Point,SA,black point,5281,Salisbury Downs,70.7,5351,Ingle Farm,74.12
Cunningham,SA,cunningham,5281,Salisbury Downs,85.17,5351,Ingle Farm,89.58
James Well,SA,james well,5281,Salisbury Downs,73.78,5351,Ingle Farm,78.01
Petersville,SA,petersville,5281,Salisbury Downs,85.66,5351,Ingle Farm,90.13
