suburb,state_code,suburb_normalized,winner_shop_number,winner_label,winner_distance_km,runner_up_shop_number,runner_up_label,runner_up_distance_km
Humbug Scrub,SA,humbug scrub,5281,Salisbury Downs,17.6,5351,Ingle Farm,18.05
One Tree Hill,SA,one tree hill,5281,Salisbury Downs,14.37,5351,Ingle Farm,16.23
Sampson Flat,SA,sampson flat,5281,Salisbury Downs,14.09,5351,Ingle Farm,14.22
Smithfield,SA,smithfield,5281,Salisbury Downs,11.18,5351,Ingle Farm,15.7
Smithfield Plains,SA,smithfield plains,5281,Salisbury Downs,11.65,5351,Ingle Farm,16.5
Smithfield West,SA,smithfield west,5281,Salisbury Downs,11.19,5351,Ingle Farm,15.71
Uleybury,SA,uleybury,5281,Salisbury Downs,15.24,5351,Ingle Farm,18.54
Yattalunga,SA,yattalunga,5281,Salisbury Downs,18.17,5351,Ingle Farm,21.26
Kudla,SA,kudla,5281,Salisbury Downs,16.04,5351,Ingle Farm,20.62
Munno Para,SA,munno para,5281,Salisbury Downs,13.5,5351,Ingle Farm,17.93
Munno Para Downs,SA,munno para downs,5281,Salisbury Downs,14.77,5351,Ingle Farm,19.77
Munno Para West,SA,munno para west,5281,Salisbury Downs,13.18,5351,Ingle Farm,18.33
Evanston,SA,evanston,5281,Salisbury Downs,19.94,5351,Ingle Farm,24.3
Evanston Gardens,SA,evanston gardens,5281,Salisbury Downs,18.75,5351,Ingle Farm,23.19
Evanston Park,SA,evanston park,5281,Salisbury Downs,19.58,5351,Ingle Farm,23.54
Evanston South,SA,evanston south,5281,Salisbury Downs,16.95,5351,Ingle Farm,21.1
Hillier,SA,hillier,5281,Salisbury Downs,17.65,5351,Ingle Farm,22.49
Angle Vale,SA,angle vale,5281,Salisbury Downs,14.81,5351,Ingle Farm,20.18
Bibaringa,SA,bibaringa,5281,Salisbury Downs,19.72,5351,Ingle Farm,23.28
Buchfelde,SA,buchfelde,5281,Salisbury Downs,19.52,5351,Ingle Farm,24.28
Concordia,SA,concordia,5281,Salisbury Downs,24.22,5351,Ingle Farm,28.07
Gawler,SA,gawler,5281,Salisbury Downs,22.35,5351,Ingle Farm,26.67
Gawler Belt,SA,gawler belt,5281,Salisbury Downs,23.41,5351,Ingle Farm,28.11
Gawler East,SA,gawler east,5281,Salisbury Downs,22.87,5351,Ingle Farm,26.87
Gawler River,SA,gawler river,5281,Salisbury Downs,18.46,5351,Ingle Farm,23.7
Gawler South,SA,gawler south,5281,Salisbury Downs,21.34,5351,Ingle Farm,25.45
Gawler West,SA,gawler west,5281,Salisbury Downs,21.26,5351,Ingle Farm,25.68
Hewett,SA,hewett,5281,Salisbury Downs,24.33,5351,Ingle Farm,28.73
Kalbeeba,SA,kalbeeba,5281,Salisbury Downs,23.66,5351,Ingle Farm,27.28
Kangaroo Flat,SA,kangaroo flat,5281,Salisbury Downs,26.22,5351,Ingle Farm,31.52
Kingsford,SA,kingsford,5281,Salisbury Downs,30.07,5351,Ingle Farm,33.81
REID,SA,reid,5281,Salisbury Downs,21.52,5351,Ingle Farm,26.03
Ward Belt,SA,ward belt,5281,Salisbury Downs,21.4,5351,Ingle Farm,26.41
Willaston,SA,willaston,5281,Salisbury Downs,22.93,5351,Ingle Farm,27.31
Buckland Park,SA,buckland park,5281,Salisbury Downs,17.59,5351,Ingle Farm,23.29
Riverlea Park,SA,riverlea park,5281,Salisbury Downs,17.59,5351,Ingle Farm,23.29
Virginia,SA,virginia,5281,Salisbury Downs,12.62,5351,Ingle Farm,18.46
EYRE,SA,eyre,5281,Salisbury Downs,9.1,5351,Ingle Farm,14.3
Macdonald Park,SA,macdonald park,5281,Salisbury Downs,11.59,5351,Ingle Farm,17.04
Penfield,SA,penfield,5281,Salisbury Downs,9.47,5351,Ingle Farm,15.09
Penfield Gardens,SA,penfield gardens,5281,Salisbury Downs,12.74,5351,Ingle Farm,18.54
Golden Grove,SA,golden grove,5351,Ingle Farm,7.0,5281,Salisbury Downs,7.5
Golden Grove Village,SA,golden grove village,5351,Ingle Farm,7.0,5281,Salisbury Downs,7.5
Greenwith,SA,greenwith,5281,Salisbury Downs,8.24,5351,Ingle Farm,8.94
Fairview Park,SA,fairview park,5351,Ingle Farm,8.23,5281,Salisbury Downs,10.19
Surrey Downs,SA,surrey downs,5351,Ingle Farm,6.5,5281,Salisbury Downs,8.54
Yatala Vale,SA,yatala vale,5351,Ingle Farm,9.28,5281,Salisbury Downs,10.93
Wynn Vale,SA,wynn vale,5351,Ingle Farm,4.52,5281,Salisbury Downs,6.36
Houghton,SA,houghton,5351,Ingle Farm,10.52,5281,Salisbury Downs,13.9
Lower Hermitage,SA,lower hermitage,5351,Ingle Farm,12.12,5281,Salisbury Downs,14.31
Upper Hermitage,SA,upper hermitage,5351,Ingle Farm,10.62,5281,Salisbury Downs,12.14
Paracombe,SA,paracombe,5351,Ingle Farm,12.02,5281,Salisbury Downs,15.96
Inglewood,SA,inglewood,5351,Ingle Farm,13.79,5281,Salisbury Downs,15.77
Cherryville,SA,cherryville,5351,Ingle Farm,14.7,5281,Salisbury Downs,20.09
Montacute,SA,montacute,5351,Ingle Farm,11.28,5281,Salisbury Downs,16.76
Norton Summit,SA,norton summit,5351,Ingle Farm,13.81,5281,Salisbury Downs,19.43
Ashton,SA,ashton,5351,Ingle Farm,15.42,5281,Salisbury Downs,21.21
Marble Hill,SA,marble hill,5351,Ingle Farm,14.83,5281,Salisbury Downs,20.35
Basket Range,SA,basket range,5351,Ingle Farm,16.69,5281,Salisbury Downs,22.16
Forest Range,SA,forest range,5351,Ingle Farm,18.31,5281,Salisbury Downs,23.47
Greenhill,SA,greenhill,5351,Ingle Farm,15.28,5281,Salisbury Downs,21.19
Horsnell Gully,SA,horsnell gully,5351,Ingle Farm,13.8,5281,Salisbury Downs,19.71
Summertown,SA,summertown,5351,Ingle Farm,15.52,5281,Salisbury Downs,21.42
Uraidla,SA,uraidla,5351,Ingle Farm,17.56,5281,Salisbury Downs,23.39
Carey Gully,SA,carey gully,5351,Ingle Farm,19.8,5281,Salisbury Downs,25.5
Eagle On The Hill,SA,eagle on the hill,5351,Ingle Farm,17.25,5281,Salisbury Downs,23.12
Leawood Gardens,SA,leawood gardens,5351,Ingle Farm,16.25,5281,Salisbury Downs,22.09
Piccadilly,SA,piccadilly,5351,Ingle Farm,19.02,5281,Salisbury Downs,24.91
Cleland,SA,cleland,5351,Ingle Farm,16.94,5281,Salisbury Downs,22.84
Crafers,SA,crafers,5351,Ingle Farm,19.32,5281,Salisbury Downs,25.24
Crafers West,SA,crafers west,5351,Ingle Farm,19.27,5281,Salisbury Downs,25.14
Mount Lofty,SA,mount lofty,5351,Ingle Farm,17.69,5281,Salisbury Downs,23.61
Stirling,SA,stirling,5351,Ingle Farm,21.26,5281,Salisbury Downs,27.18
Biggs Flat,SA,biggs flat,5351,Ingle Farm,30.41,5281,Salisbury Downs,36.31
Bradbury,SA,bradbury,5351,Ingle Farm,28.15,5281,Salisbury Downs,34.02
Chapel Hill,SA,chapel hill,5351,Ingle Farm,30.71,5281,Salisbury Downs,36.62
Echunga,SA,echunga,5351,Ingle Farm,33.84,5281,Salisbury Downs,39.74
Flaxley,SA,flaxley,5351,Ingle Farm,39.31,5281,Salisbury Downs,45.2
Green Hills Range,SA,green hills range,5351,Ingle Farm,40.39,5281,Salisbury Downs,46.3
Heathfield,SA,heathfield,5351,Ingle Farm,23.64,5281,Salisbury Downs,29.55
Ironbank,SA,ironbank,5351,Ingle Farm,25.47,5281,Salisbury Downs,31.3
Jupiter Creek,SA,jupiter creek,5351,Ingle Farm,32.32,5281,Salisbury Downs,38.23
Longwood,SA,longwood,5351,Ingle Farm,25.45,5281,Salisbury Downs,31.36
Macclesfield,SA,macclesfield,5351,Ingle Farm,42.75,5281,Salisbury Downs,48.64
Mylor,SA,mylor,5351,Ingle Farm,26.96,5281,Salisbury Downs,32.88
Scott Creek,SA,scott creek,5351,Ingle Farm,26.61,5281,Salisbury Downs,32.48
Aldgate,SA,aldgate,5351,Ingle Farm,23.49,5281,Salisbury Downs,29.4
Bridgewater,SA,bridgewater,5351,Ingle Farm,24.09,5281,Salisbury Downs,29.93
Mount George,SA,mount george,5351,Ingle Farm,22.34,5281,Salisbury Downs,28.14
Upper Sturt,SA,upper sturt,5351,Ingle Farm,21.66,5281,Salisbury Downs,27.52
Ashbourne,SA,ashbourne,5351,Ingle Farm,53.71,5281,Salisbury Downs,59.57
Bull Creek,SA,bull creek,5351,Ingle Farm,46.83,5281,Salisbury Downs,52.71
Cherry Gardens,SA,cherry gardens,5351,Ingle Farm,27.66,5281,Salisbury Downs,33.37
Clarendon,SA,clarendon,5351,Ingle Farm,31.44,5281,Salisbury Downs,37.01
Coromandel East,SA,coromandel east,5351,Ingle Farm,24.71,5281,Salisbury Downs,30.41
Dorset Vale,SA,dorset vale,5351,Ingle Farm,29.37,5281,Salisbury Downs,35.15
Kangarilla,SA,kangarilla,5351,Ingle Farm,36.08,5281,Salisbury Downs,41.7
Mcharg Creek,SA,mcharg creek,5351,Ingle Farm,50.81,5281,Salisbury Downs,56.63
Hallett Cove,SA,hallett cove,5351,Ingle Farm,31.14,5281,Salisbury Downs,35.66
O’Halloran Hill,SA,o’halloran hill,5351,Ingle Farm,31.14,5281,Salisbury Downs,35.66
O'Halloran Hill,SA,o'halloran hill,5351,Ingle Farm,28.11,5281,Salisbury Downs,33.06
O'Halloran Hill Dc,SA,o'halloran hill dc,5351,Ingle Farm,28.47,5281,Salisbury Downs,33.46
Sheidow Park,SA,sheidow park,5351,Ingle Farm,30.73,5281,Salisbury Downs,35.49
Trott Park,SA,trott park,5351,Ingle Farm,28.56,5281,Salisbury Downs,33.4
Aberfoyle Park,SA,aberfoyle park,5351,Ingle Farm,27.45,5281,Salisbury Downs,32.81
Chandlers Hill,SA,chandlers hill,5351,Ingle Farm,29.48,5281,Salisbury Downs,35.02
Flagstaff Hill,SA,flagstaff hill,5351,Ingle Farm,25.88,5281,Salisbury Downs,31.08
Happy Valley,SA,happy valley,5351,Ingle Farm,29.79,5281,Salisbury Downs,34.92
Lonsdale,SA,lonsdale,5351,Ingle Farm,34.45,5281,Salisbury Downs,39.02
Lonsdale Dc,SA,lonsdale dc,5351,Ingle Farm,34.06,5281,Salisbury Downs,38.66
Port Stanvac,SA,port stanvac,5351,Ingle Farm,34.92,5281,Salisbury Downs,39.48
Old Reynella,SA,old reynella,5351,Ingle Farm,31.89,5281,Salisbury Downs,36.83
Reynella,SA,reynella,5351,Ingle Farm,32.45,5281,Salisbury Downs,37.27
Reynella East,SA,reynella east,5351,Ingle Farm,30.95,5281,Salisbury Downs,35.95
Morphett Vale,SA,morphett vale,5351,Ingle Farm,34.49,5281,Salisbury Downs,39.39
Woodcroft,SA,woodcroft,5351,Ingle Farm,34.13,5281,Salisbury Downs,39.14
Hackham,SA,hackham,5351,Ingle Farm,38.91,5281,Salisbury Downs,43.89
Hackham West,SA,hackham west,5351,Ingle Farm,37.56,5281,Salisbury Downs,42.41
Huntfield Heights,SA,huntfield heights,5351,Ingle Farm,38.71,5281,Salisbury Downs,43.62
Onkaparinga Heights,SA,onkaparinga heights,5351,Ingle Farm,39.38,5281,Salisbury Downs,44.33
Onkaparinga Hills,SA,onkaparinga hills,5351,Ingle Farm,36.83,5281,Salisbury Downs,41.89
Christie Downs,SA,christie downs,5351,Ingle Farm,36.57,5281,Salisbury Downs,41.24
Christies Beach,SA,christies beach,5351,Ingle Farm,37.84,5281,Salisbury Downs,42.36
Christies Beach North,SA,christies beach north,5351,Ingle Farm,37.84,5281,Salisbury Downs,42.36
O’Sullivan Beach,SA,o’sullivan beach,5351,Ingle Farm,36.45,5281,Salisbury Downs,40.92
O'Sullivan Beach,SA,o'sullivan beach,5351,Ingle Farm,36.45,5281,Salisbury Downs,40.92
Port Noarlunga,SA,port noarlunga,5351,Ingle Farm,39.23,5281,Salisbury Downs,43.81
Port Noarlunga South,SA,port noarlunga south,5351,Ingle Farm,41.51,5281,Salisbury Downs,46.12
Noarlunga Centre,SA,noarlunga centre,5351,Ingle Farm,37.9,5281,Salisbury Downs,42.59
Noarlunga Downs,SA,noarlunga downs,5351,Ingle Farm,38.45,5281,Salisbury Downs,43.22
Old Noarlunga,SA,old noarlunga,5351,Ingle Farm,41.88,5281,Salisbury Downs,46.74
Moana,SA,moana,5351,Ingle Farm,44.58,5281,Salisbury Downs,49.29
Seaford,SA,seaford,5351,Ingle Farm,43.69,5281,Salisbury Downs,48.41
Seaford Heights,SA,seaford heights,5351,Ingle Farm,43.86,5281,Salisbury Downs,48.72
Seaford Meadows,SA,seaford meadows,5351,Ingle Farm,41.53,5281,Salisbury Downs,46.26
Seaford Rise,SA,seaford rise,5351,Ingle Farm,44.53,5281,Salisbury Downs,49.35
